代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
601857.SH,中国石油,2010-03-05,9.59,9.59,2342668516070.0,石油和天然气开采业,0.6991427010640913
000968.SZ,蓝焰控股,2010-03-08,17.58,17.55,9257720940.0,石油和天然气开采业,0.0027499471557822282
600028.SH,中国石化,2010-03-08,5.06,5.08,963265083569.0,石油和天然气开采业,0.28613176979440275
600256.SH,广汇能源,2010-03-08,4.85,4.9,28656234490.0,石油和天然气开采业,0.008512152293413597
600759.SH,洲际油气,2010-03-08,5.54,5.55,9113339668.0,石油和天然气开采业,0.0027070596167369414
600777.SH,新潮能源,2010-03-08,1.84,1.84,4396725651.0,石油和天然气开采业,0.0013060194055408863
601857.SH,中国石油,2010-03-08,9.54,9.62,2351819564961.0,石油和天然气开采业,0.6985930517341236
000968.SZ,蓝焰控股,2010-03-09,17.55,17.9,9442669860.0,石油和天然气开采业,0.0027960555502479587
600028.SH,中国石化,2010-03-09,5.08,5.11,968467235236.0,石油和天然气开采业,0.28677145642735763
600256.SH,广汇能源,2010-03-09,4.9,4.87,28465701016.0,石油和天然气开采业,0.00842893826614052
600759.SH,洲际油气,2010-03-09,5.56,5.55,9113339668.0,石油和天然气开采业,0.00269853805521125
600777.SH,新潮能源,2010-03-09,1.83,1.82,4340437556.0,石油和天然气开采业,0.0012852407951238576
601857.SH,中国石油,2010-03-09,9.62,9.64,2357310194296.0,石油和天然气开采业,0.6980197709059188
000968.SZ,蓝焰控股,2010-03-10,17.88,17.7,9334782990.0,石油和天然气开采业,0.0027631644544832347
600028.SH,中国石化,2010-03-10,5.11,5.15,976270462735.0,石油和天然气开采业,0.2889832407974651
600256.SH,广汇能源,2010-03-10,4.89,4.66,27284393477.0,石油和天然气开采业,0.0080763812397722
